Name;Age;Club;Country;Position
Amidou Doumbouya;15;OGC Nice;France;DC, DM
Harry Amass;16;Manchester United;England;DL
Marc Bernal;16;FC Barcelona;Spain;DM, CM
Pau Cubarsi;16;FC Barcelona;Spain;DC
Daniel Daga;16;FC One Rocket;Nigeria;DM, CM
Hector Fort;16;FC Barcelona;Spain;DR
George Ilenikhena;16;Royal Antwerp FC;France;ST
Lucas Jetten;16;AFC Ajax;Netherlands;DC, DL
Jonah Kusi-Asare;16;Bayern Munchen;Sweden;ST
Shea Lacey;16;Manchester United;England;AM, AMR
Myles Lewis-Skelly;16;Arsenal;England;DM, CM
Callan McKenna;16;Bournemouth;Scotland;GK
Rayan;16;Vasco da Gama;Brasil;AMR, ST
Chris Rigg;16;Sunderland;England;DM, CM, AM
Riquelme Fillipi;16;SE Palmeiras;Brasil;AMR, AML, ST
Ryan Franscisco;16;Sao Paulo FC;Brasil;ST
Trevan Sanusi;16;Newcastle;England;AML
Gabriel Silva;16;Sporting;Portugal;ST
Enzo Sternal;16;Olimpique de Marseille;France;AML, AM, ST
Luka Vuskovic;16;HNK Hajduk Split;Croatia;DC
Jayden Addai;17;AZ Alkmaar;Netherlands;AMR, AML
Sam Amo-Ameyaw;17;Southampton;England;AMR, AML, ST
Roony Bardghji;17;FC Kobenhavn;Sweden;AMR
Lucas Bergvall;17;Djurgardens Idrottsforening;Sweden;DM, CM, AM
Saimon Bouabre;17;AS Monaco;France;CM, AM
Kail Boudache;17;OGC Nice;France;AMR
Rayane Bounida;17;AFC Ajax;Belgium;AMR, AML, AM
Ethan Butera;17;AFC Ajax;Belgium;DC, DM
Tyler Dibling;17;Southampton;England;CM, AMR, AML, AM
Martim Fernandes;17;Porto;Portugal;DR
Gabriel Moscardo;17;PSG;Brasil;DM
Jasper Hartog;17;AZ Alkmaar;Netherlands;AMR, AML
Nestory Irankunda;17;Adelaide United FC;Australia;AMR, AML
Omari Kellyman;17;Aston Villa;England;AMR, AML, AM, ST
Semih Kilicsoy;17;Besiktas;Turkey;AMR, AML, ST
Gael Lafont;17;Olimpique de Marseille;France;CM, AM
Mathis Lambourde;17;Stade Rennais FC;France;AMR, ST
Tygo Land;17;PSV;Netherlands;DM, CM, AM
David Martinez;17;Los Angeles FC;Venezuela;AMR, AML, AM
Enoch Mastoras;17;AZ Alkmaar;Netherlands;DC, DR, DM, CM
Matheus Goncalves;17;Flamengo;Brasil;AMR
Bastien Meupiyou;17;FC Nantes;France;DC, DM
Lewis Miley;17;Newcastle;England;DM, CM, AM
Jano Monserrate;17;Atletico Madrid;Spain;CM, AM
Goncalo Moreira;17;Benfica;Portugal;AMR, AML, AM
Allen Obando;17;Barcelona S.C.;Ecuador;ST
Oscar Perea;17;Nacional;Columbia;AML
Matija Popovic;17;Monza;Serbia;AML, AM ST
Gianluca Prestianni;17;CA Velez Sarsfield;Argentina;AMR, AML, AM
Dennis Seimen;17;VfB Stuttgart;Germany;GK
Kees Smit;17;AZ Alkmaar;Netherlands;DM, CM, AM
Can Uzun;17;1. FC Nurnberg;Turkey;CM ,AM, ST
Jaime Vazquez;17;Real Oviedo;Spain;DC
Iker Villar;17;Sevilla;Spain;ST
